发布日期,投放截止,状态,进展,作者昵称,标题,链接,笔记ID,一级分类,二级分类,投放记录,投前互动量,投后互动量,投放后点赞量,投放后收藏量,投放后评论量,总互动量,总投放金额,总CPE,备注
2026-05-10 00:00:00,2026-05-17 00:00:00,在投,,用魔法打败魔法voc,滴滴打车偶遇,https://www.xiaohongshu.com/explore/69ff2744000000003601bafd?xsec_token=ABSe7suRAYmulQ4PBfwqDWg_Ql-v1qHlDG2U5q2K-9fKY=,69ff2744000000003601bafd,车内,特殊车型/车衣,,0,47,43,0,4,47,200,4.26,
2026-05-11 00:00:00,2026-05-18 00:00:00,在投,,偷吃老鼠药,滴滴优先呼叫女司机选项真是伟大发明,https://www.xiaohongshu.com/explore/6a01468400000000060214be?xsec_token=ABMDY_ifAXf43glQ4iD8PYNZWMIiDvTz3M6rD-nGS0c0M=&xsec_source=pc_search,6a01468400000000060214be,产品力,女性友好计划,,20,1290,1255,2,13,1270,800,0.63,
2026-05-11 00:00:00,2026-05-18 00:00:00,在投,,猫饼,她给了我一颗糖🍬,https://www.xiaohongshu.com/explore/6a014275000000003601e660?xsec_token=ABMDY_ifAXf43glQ4iD8PYNRElQwjKn3KHY0HzRZsXs9c=&xsec_source=pc_search,6a014275000000003601e660,司机,女司机,,5,93,86,0,2,88,200,2.27,
2026-05-10 00:00:00,2026-05-17 00:00:00,在投,,父与子：共同成长,滴滴其实还不错，至少还想着做事,https://www.xiaohongshu.com/explore/6a0044d200000000360190fc?source=webshare&xhsshare=pc_web&xsec_token=ABe7uh94rgLtb32KVXCgE6zdSecME_4lvf9lXqCwH7ZDM=&xsec_source=pc_share,6a0044d200000000360190fc,产品力,女性友好计划,,8,24,15,1,0,16,200,12.5,
2026-05-11 00:00:00,2026-05-18 00:00:00,停投,,尧十二,下沙有自己的宝宝巴士🚌3块钱的快乐谁懂啊！,https://www.xiaohongshu.com/explore/6a015c4b00000000060375d5?app_platform=ios&app_version=9.29&share_from_user_hidden=true&xsec_source=app_share&type=video&xsec_token=CB0EIrGEJAR4IkKD6WrpqGlpqf93X6j_93NaDh5PA3tzg=&author_share=1&xhsshare=CopyLink&shareRedId=N0dDN0hINkI6TEZFSkoyPz41SjlJSEg9&apptime=1778482875&share_id=f1045e5ebc884cc3a25f3f6dbe720b37,6a015c4b00000000060375d5,产品力,滴滴小巴,,10,10,/,/,/,0,/,,作者终止投放
2026-05-10 00:00:00,2026-05-17 00:00:00,在投,,贝壳与贝果,坐标常熟，宝宝巴士来接我啦,https://www.xiaohongshu.com/explore/69edd0cf0000000035025453?xsec_token=ABkhnHrdTn66wpzixyl95xc6Rar_v_JNNubvWrO19cP24=&xsec_source=pc_search,69edd0cf0000000035025453,产品力,滴滴小巴,,12,24,12,0,0,12,200,16.67,
2026-05-11 00:00:00,2026-05-18 00:00:00,在投,,暴富猫,坐滴滴还送香卡呀,https://www.xiaohongshu.com/explore/6a013f80000000000803ca41?xsec_token=ABMDY_ifAXf43glQ4iD8PYNd0fpxtyb-aDsuPHeEeUSac=&xsec_source=pc_search&source=web_explore_feed,6a013f80000000000803ca41,车内,香卡,,0,7,6,0,1,7,200,28.57,
2026-05-11 00:00:00,2026-05-18 00:00:00,在投,,早八灵魂出走中,我家狗子觉得自己是最帅的狗,https://www.xiaohongshu.com/explore/6a01b530000000003601e708?xsec_token=ABMDY_ifAXf43glQ4iD8PYNaevaIXtJtDMT-ktepBCU3s=,6a01b530000000003601e708,产品力,宠物出行,,4,62,54,1,3,58,200,3.45,
2026-05-12 00:00:00,2026-05-19 00:00:00,在投,,努力校招中🌟,昨天滴滴打车，选了女性友好专车～,https://www.xiaohongshu.com/explore/6a02a86800000000070130aa?xsec_token=AB7U6zAAB-FbTocf-dL8C5T5OiIULUabftGK25BLSoZ4A=&xsec_source=pc_search,6a02a86800000000070130aa,产品力,女性友好计划,,3,77,71,0,3,74,200,2.7,
2026-05-11 00:00:00,2026-05-18 00:00:00,在投,,补药让我加班,你的五一我的五一好像不一样,https://www.xiaohongshu.com/explore/6a01ed3a000000003503a60e?xsec_token=ABMDY_ifAXf43glQ4iD8PYNQBwgNEHYp4wX45z4dWdtjo=&xsec_source=pc_search,6a01ed3a000000003503a60e,司机,女司机,,2,400,397,1,0,398,400,1.01,
2026-05-11 00:00:00,2026-05-18 00:00:00,在投,,葡萄糖太郎,打到这些女司机的车，算我有福！,https://www.xiaohongshu.com/explore/6a01c59a0000000035038156?xsec_token=ABMDY_ifAXf43glQ4iD8PYNWfE3Q3cvQ3E4tJejze7REs=&xsec_source=pc_search,6a01c59a0000000035038156,司机,女司机,,12,146,132,0,2,134,200,1.49,
2026-05-11 00:00:00,2026-05-18 00:00:00,在投,,Ar,异地恋分别，被滴滴出行狠狠治愈了✨,https://www.xiaohongshu.com/explore/6a01ba55000000000702ca26?xsec_token=ABMDY_ifAXf43glQ4iD8PYNQpF_wV9vHtGDrwlg8rWheA=&xsec_source=pc_search,6a01ba55000000000702ca26,司机,司乘温暖,,17,49,31,0,1,32,200,6.25,
2026-05-11 00:00:00,2026-05-18 00:00:00,在投,,云🦋,那个选项我早就打开了，没想到今天真用上了,https://www.xiaohongshu.com/explore/6a019fc3000000003502aa17?xsec_token=ABMDY_ifAXf43glQ4iD8PYNe3edi3uM3rB-Ib-bKXaLuY=&xsec_source=pc_search,6a019fc3000000003502aa17,产品力,女性友好计划,,39,1032,980,3,10,993,600,0.6,
2026-05-12 00:00:00,2026-05-19 00:00:00,停投,,肉肉打怪兽👹,打到了一辆很不错的车,https://www.xiaohongshu.com/explore/6a0319c60000000006021d84?xsec_token=ABUGydpp8sZT7bGqSkfVTRrHid3PrB1nq-JdnXf8CTZ_Y=,6a0319c60000000006021d84,司机,女司机,,4,12,7,0,1,8,21.7,2.71,作者终止投放
2026-05-12 00:00:00,2026-05-19 00:00:00,在投,,按点滴,在波哥大打到滴滴宠物快车🇨🇴,https://www.xiaohongshu.com/explore/6a015f1700000000380356d7?xsec_token=ABMDY_ifAXf43glQ4iD8PYNaniy7YBsqf9b7hzbiqag-s=&xsec_source=pc_search,6a015f1700000000380356d7,产品力,海外打车,,2036,2994,935,10,13,958,490,0.51,
2026-05-13 00:00:00,2026-05-20 00:00:00,在投,,半眠,一个女司机的无声温柔,https://www.xiaohongshu.com/explore/6a0418bf0000000036003c40?xsec_token=AB19yGNDIZJ8ti3fP2rXuFyZ6Z-lDwCZBwbGotTrdV23k=&xsec_source=pc_search,6a0418bf0000000036003c40,司机,女司机,,11,267,251,0,5,256,200,0.78,
2026-05-13 00:00:00,2026-05-20 00:00:00,在投,,Dracula🐶,网约车碰一个到新疆司机,https://www.xiaohongshu.com/explore/6a03ef13000000003700e895?xsec_token=ABUGydpp8sZT7bGqSkfVTRrPwiu4gyIv_qx90a962TmYA=&xsec_source=pc_search,6a03ef13000000003700e895,车内,司机自发装置,,7,138,128,1,2,131,200,1.53,
2026-05-13 00:00:00,2026-05-20 00:00:00,在投,,五分糖全甜,好可爱的滴滴司机,https://www.xiaohongshu.com/explore/6a043375000000003501ceb1?xsec_token=AB19yGNDIZJ8ti3fP2rXuFyRJoCGskAnp4wRqybahT-RU=,6a043375000000003501ceb1,车内,司机自发装置,,5,51,45,1,0,46,200,4.35,
2026-05-13 00:00:00,2026-05-20 00:00:00,在投,,feibee,我爱滴滴女司机,https://www.xiaohongshu.com/explore/6a046b14000000000702a3b5?xsec_token=AB19yGNDIZJ8ti3fP2rXuFyYzgr_uZIkxb4zFf3gO10O8=&xsec_source=pc_search,6a046b14000000000702a3b5,司机,女司机,,14,235,216,0,5,221,200,0.9,
2026-05-13 00:00:00,2026-05-20 00:00:00,在投,,是小陈同学呀（实习版）,新时代女性的安全出行,https://www.xiaohongshu.com/explore/6a0469a50000000008030b80?xsec_token=AB19yGNDIZJ8ti3fP2rXuFyY3zvWAaub09cgIoWuZmGto=&xsec_source=pc_search,6a0469a50000000008030b80,产品力,女性友好计划,,67,304,234,0,3,237,200,0.84,
2026-05-13 00:00:00,2026-05-20 00:00:00,在投,,早八灵魂出走中,偶遇同担,https://www.xiaohongshu.com/explore/6a045c91000000003700d056?xsec_token=AB19yGNDIZJ8ti3fP2rXuFyaf1zFDYzeXYNexiBPTQHbY=&xsec_source=pc_search,6a045c91000000003700d056,司机,女司机,,2,252,248,1,1,250,200,0.8,
2026-05-13 00:00:00,2026-05-20 00:00:00,在投,,睡觉专业户,记录在北京遇到的善良司机姐姐,https://www.xiaohongshu.com/explore/6a04598d0000000035023cee?xsec_token=AB19yGNDIZJ8ti3fP2rXuFySN9b_R401g8JkajaJ9r29E=&xsec_source=pc_search,6a04598d0000000035023cee,司机,女司机,,17,237,209,2,9,220,200,0.91,
2026-05-14 00:00:00,2026-05-21 00:00:00,在投,,爱吃凉拌杂蔬,他说这是他接过最乖的乘客,https://www.xiaohongshu.com/explore/6a0439ad0000000036033ee4?xsec_token=AB19yGNDIZJ8ti3fP2rXuFyQJIhmwnZmNbhu_vtK2KefQ=&xsec_source=pc_search&source=web_note_detail_r10,6a0439ad0000000036033ee4,产品力,宠物出行,,32,363,326,2,3,331,200,0.6,
2026-05-13 00:00:00,2026-05-20 00:00:00,在投,,jimmy先生是我的大宝贝呀,🍄我有一个很爱很爱很爱我的小狗,https://www.xiaohongshu.com/explore/6a0437f600000000070122fd?xsec_token=AB19yGNDIZJ8ti3fP2rXuFyaqzX_0syO4UU72X5pnSLog=&xsec_source=pc_search&source=web_note_detail_r10,6a0437f600000000070122fd,产品力,宠物出行,,26,159,130,1,2,133,200,1.5,
2026-05-13 00:00:00,2026-05-20 00:00:00,在投,,mikouo,首尔演唱会散场打不到车，一个阿姨说：“我女儿也追星，她现在在美国”,https://www.xiaohongshu.com/explore/6a041bbf0000000038037d42?xsec_token=AB19yGNDIZJ8ti3fP2rXuFyekuWpqAfJnKvoyHP5H9I9E=&xsec_source=pc_search&source=web_search_result_notes&exSource=https://my.feishu.cn/,6a041bbf0000000038037d42,产品力,海外打车,,32,161,128,0,1,129,200,1.55,
2026-05-14 00:00:00,2026-05-21 00:00:00,在投,,火爆的后槽牙,曝光这个滴滴绝世好司机,https://www.xiaohongshu.com/explore/6a0588ec000000000603655e?xsec_token=ABdRAD_phk1WlZetOXGBETlXHd5bpXMA87JRN5dFOiEjI=&xsec_source=pc_search,6a0588ec000000000603655e,司机,司机服务,,16,108,92,0,0,92,200,2.17,
2026-05-15 00:00:00,2026-05-22 00:00:00,在投,,佩奇大口吃乔治,家人们！必须要给滴滴宠物专车狠狠点赞👍,https://www.xiaohongshu.com/explore/6a05d478000000000702a5fd?xsec_token=ABdRAD_phk1WlZetOXGBETlfNvPtylvs66xfjVJjvdhtA=&xsec_source=pc_search,6a05d478000000000702a5fd,产品力,宠物出行,,17,50,33,0,0,33,200,6.06,
2026-05-14 00:00:00,2026-05-21 00:00:00,在投,,茹你所愿,纪念我在北京打车遇到的老派司机姐姐,https://www.xiaohongshu.com/explore/6a05a83700000000070281e9?xsec_token=ABdRAD_phk1WlZetOXGBETlWPqpm8Dt5G2igt8vaRy8bs=&xsec_source=pc_search,6a05a83700000000070281e9,司机,女司机,,18,38,18,0,2,20,200,10,
2026-05-18 00:00:00,2026-05-25 00:00:00,在投,,朱汁文,打到黄仁勋在什刹海的迈巴赫了,https://www.xiaohongshu.com/explore/6a0b2c92000000003501eb92?xsec_token=ABSh5LZ7oqI4X51MmHsTwJ26z966ZxiyFh4ACmQOIpVw8=&xsec_source=pc_search,6a0b2c92000000003501eb92,产品力,专车/豪华车,,16,488,447,20,5,472,200,0.42,
2026-05-22 00:00:00,2026-05-29 00:00:00,,,Savi,晚上叫了女性优先，司机说“我女儿也上大学”,https://www.xiaohongshu.com/explore/6a0f90e70000000036033d81?xsec_token=ABYM9RCRC7N0P5B2FWcGAocTrr2RqnlEyInEO2i3u4kFM=&xsec_source=pc_search&source=web_explore_feed,6a0f90e70000000036033d81,司机,女司机,,2856,,,,,,,,
2026-05-22 00:00:00,2026-05-29 00:00:00,,,娴菜ovo,司机替我说出了“不结婚也没事”,https://www.xiaohongshu.com/explore/6a0ede3d0000000035038e85?xsec_token=AB4GV38jFFqgm3TMJ-nHEVkYt84aeP8HDEnET8H8bTKzg=&xsec_source=pc_search,6a0ede3d0000000035038e85,司机,女司机,,14700,,,,,,,,
